Yara,,Num Of Confirmed Bugs with test cases:,0,Num of available crashes,0,Project Link:,https://github.com/VirusTotal/yara,Work on this has been temporary halted due to complex input test cases.,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Internal ID,Tool Name,CVE ID,Date of Fix,Earlies Unfixed Commit,Commit ID before fix,Commit ID of fix,Notes,Shall we include?,Bug Type,Bug Details,Crash Input,Crash Status,Useful Link
,yara,N/A,2014-11-13 10:30:50 +0100,TODO,344d27a,81f4349,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/81f4349
,yara,N/A,2014-11-07 21:54:58 +0100,TODO,3b2b9fd,f3edcf2,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/f3edcf2
,yara,N/A,2014-11-07 14:02:51 +0100,TODO,ab2d2df,ac33844,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/ac33844
,yara,N/A,2014-11-06 18:43:18 +0100,TODO,6832b36,dd2afc6,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/dd2afc6
,yara,N/A,2014-11-06 17:35:28 +0100,TODO,0cd95ae,6832b36,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/6832b36
,yara,N/A,2014-11-03 18:10:29 +0100,TODO,46fee1a,f678d4b,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/f678d4b
,yara,N/A,2014-11-03 10:54:00 +0100,TODO,93cce90,7bf0c83,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/7bf0c83
,yara,N/A,2014-10-31 12:03:49 +0100,TODO,59b643b,4.22E+10,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/42236e6
,yara,N/A,2014-10-31 12:03:05 +0100,TODO,0e67efe,59b643b,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/59b643b
,yara,N/A,2014-10-31 11:29:27 +0100,TODO,dda6c74,5f39dcc,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/5f39dcc
,yara,N/A,2014-10-30 17:22:05 +0100,TODO,557aa9a,b86a6f6,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/b86a6f6
,yara,N/A,2014-10-29 14:15:57 +0100,TODO,5ba87be,0d4d719,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/0d4d719
,yara,N/A,2014-10-28 18:37:54 +0100,TODO,aaee659,62d8318,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/62d8318
,yara,N/A,2014-10-16 15:01:56 +0200,TODO,cdadb9e,1c0968d,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/1c0968d
,yara,N/A,2014-10-16 13:28:58 +0200,TODO,df87f7e,a7ce07e,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/a7ce07e
,yara,N/A,2014-10-16 13:14:40 +0200,TODO,96e6d9e,df87f7e,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/df87f7e
,yara,N/A,2014-10-09 10:10:09 +0200,TODO,88a25d2,ce8f8c4,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/ce8f8c4
,yara,N/A,2014-09-30 13:39:40 +0200,TODO,f37e97e,e5369ca,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/e5369ca
,yara,N/A,2014-09-25 20:05:05 +0200,TODO,c80a56b,7e99c64,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/7e99c64
,yara,N/A,2014-09-24 23:42:45 +0200,TODO,0763b7a,9f7a178,N/A,Potential,I Don't Know,,TODO,TODO,https://github.com/VirusTotal/yara/commit/9f7a178
